order_id,order_date,product_name,product_quantity,product_price,product_url,product_image_url
206274185,2025-01-24,ULTRA OMEGA-3 TG (IFOS) 1000mg - 120 perlas,8,101.68,https://www.hsnstore.com/marcas/essential-series/ultra-omega-3-tg-ifos-1000mg-120-perlas,https://www.hsnstore.com/media/catalog/product/cache/2/image/75x75/9df78eab33525d08d6e5fb8d27136e95/u/l/ultra-omega-3-120-softgels-front-hsn_1_1.webp
206274185,2025-01-24,VITAMINA D3 VEGANA 4000UI - 30 veg caps,5,0.0,https://www.hsnstore.com/marcas/essential-series/vitamina-d3-vegana-4000ui-30-veg-caps,https://www.hsnstore.com/media/catalog/product/cache/2/image/75x75/9df78eab33525d08d6e5fb8d27136e95/v/i/vitamin-d3-vegan-4000iu-30-veg-caps-hsn_1.jpg
206274185,2025-01-24,UC-II® 40mg - 120 veg caps,1,28.55,https://www.hsnstore.com/marcas/essential-series/uc-ii-40mg-120-veg-caps,https://www.hsnstore.com/media/catalog/product/cache/2/image/75x75/9df78eab33525d08d6e5fb8d27136e95/u/c/uc-ii-front-120-hsn_1.webp
206213702,2025-01-13,EVOCARBS 2.0 3Kg NARANJA,1,22.75,https://www.hsnstore.com/marcas/sport-series/evocarbs-2-0-3kg-naranja,https://www.hsnstore.com/media/catalog/product/cache/2/image/75x75/9df78eab33525d08d6e5fb8d27136e95/e/v/evocarbs-3kg-orange-new-front-hsn_1.webp
206213702,2025-01-13,VITAMINA D3 VEGANA 4000UI - 120 veg caps,3,47.73,https://www.hsnstore.com/marcas/essential-series/vitamina-d3-vegana-4000ui-120-veg-caps,https://www.hsnstore.com/media/catalog/product/cache/2/image/75x75/9df78eab33525d08d6e5fb8d27136e95/v/i/vitamin-d3-vegan-4000ui-120-veg-caps-front-hsn_1.webp
206213702,2025-01-13,EVOWHEY PROTEIN 2Kg CHOCOLATE Y CACAHUETE,1,28.9,https://www.hsnstore.com/marcas/sport-series/evowhey-protein-2kg-chocolate-cacahuete,https://www.hsnstore.com/media/catalog/product/cache/2/image/75x75/9df78eab33525d08d6e5fb8d27136e95/e/v/evowhey-2kg-chocolate-peanut-new-front-hsn_1.webp
206213702,2025-01-13,NUTRY BOWL LENTEJAS NEGRAS ESPECIADAS CON CÚRCUMA Y JENGIBRE 60g,1,0.0,https://www.hsnstore.com/marcas/food-series/nutry-bowl-lentejas-negras-especiadas-con-curcuma-y-jengibre-60g,https://www.hsnstore.com/media/catalog/product/cache/2/image/75x75/9df78eab33525d08d6e5fb8d27136e95/n/u/nutry-bowl-black-lentils-turmeric-ginger-front-hsn_1.webp
206213702,2025-01-13,MONODOSIS EVOWHEY PROTEIN 30g CHOCOLATE Y GALLETAS,1,0.0,https://www.hsnstore.com/marcas/sport-series/monodosis-evowhey-protein-30g-chocolate-y-galletas,https://www.hsnstore.com/media/catalog/product/cache/2/image/75x75/9df78eab33525d08d6e5fb8d27136e95/e/v/evowhey-chocolate-cookies-30g-new-front-hsn_1.webp
206213702,2025-01-13,CREMA DE ARROZ 2.0 1Kg SIN SABOR,1,0.5,https://www.hsnstore.com/marcas/food-series/crema-de-arroz-2-0-1kg-sin-sabor,https://www.hsnstore.com/media/catalog/product/cache/2/image/75x75/9df78eab33525d08d6e5fb8d27136e95/r/i/rice-cream-2-0-1kg-unflavoured-front-hsn_1.webp
206037112,2024-12-02,PROTEÍNA DE SOJA AISLADA 2.0 2Kg CHOCOLATE,1,17.71,https://www.hsnstore.com/marcas/essential-series/proteina-de-soja-aislada-2-0-2kg-chocolate,https://www.hsnstore.com/media/catalog/product/cache/2/image/75x75/9df78eab33525d08d6e5fb8d27136e95/s/o/soy-protein-chocolate-2kg-front-hsn_1.webp
